Section Number,Section Name,Every Project,Other section that always accompanies this one (1),Other section that always accompanies this one (2),Other section that always accompanies this one (3),"Is the project a new building,  addition/renovation or renovation?
New Building","Is the project a new building, addition/renovation or renovation?
Addition/Renovation","Is the project a new building, addition/renovation or renovation?
Renovation","Does the project require demolition?
Yes","Is the project multiple stories?
Yes (New Building, Addition, Addition/Renovation)","Is the project multiple stories?
Yes (Renovation)","What are the opaque exterior materials? (Select as many as applicable)
Masonry","What are the opaque exterior materials? (Select as many as applicable)
Stone","What are the opaque exterior materials? (Select as many as applicable)
Metal Panel","What are the opaque exterior materials? (Select as many as applicable)
Fiber Cement Panel","What are the opaque exterior materials? (Select as many as applicable)
Terra Cotta","What are the opaque exterior materials? (Select as many as applicable)
Phenolic Panel","What are the opaque exterior materials? (Select as many as applicable)
EIFS","What are the opaque exterior materials? (Select as many as applicable)
Precast Concrete","What are the opaque exterior materials? (Select as many as applicable)
Cast Stone","What are the opaque exterior materials? (Select as many as applicable)
Architectural Concrete","Do you have CMU backup for the opaque exterior walls?
Yes","What are the anticipated floor finishes? (Select as many as applicable)
Carpet","What are the anticipated floor finishes? (Select as many as applicable)
Resilient Flooring","What are the anticipated floor finishes? (Select as many as applicable)
Tile","What are the anticipated floor finishes? (Select as many as applicable)
Wood","What are the anticipated floor finishes? (Select as many as applicable)
Terrazzo","Are there any special ceiling materials? (Select as many as applicable)
Acoustical Gypsum Board","Are there any special ceiling materials? (Select as many as applicable)
Acoustical Baffles","Are there any special ceiling materials? (Select as many as applicable)
Wood","Are there any special ceiling materials? (Select as many as applicable)
Metal",,,
08 34 59,Vault Doors and Day Gates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 34 73,Metal Sound Control Door Assemblies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 34 73,Wood Sound Control Door Assemblies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 34 83,Elevator Door Smoke Containment System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 35 13,Folding Doors,,05 50 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 35 14,Accordion Fire Doors,,05 50 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 35 15,Aluminum-Framed Folding Door System,,05 50 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 35 19,Multipanel Folding Wood-Framed Glass Doors,,05 50 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 36 13,Sectional Doors,,05 50 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 38 00,Traffic Doors,,05 50 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 38 19,Traffic Impact Doors,,05 50 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 39 34,Fire Protective Smoke Curtain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 39 50,Ballistics-Resistant Wood Doors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 39 53,Ballistics-Resistant Hollow Metal Doors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 41 13,Aluminum-Framed Entrances and Storefront,,08 80 00,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 41 23,Fire-Rated Aluminum Full Vision Doors and Frames,,08 88 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 41 26,All-Glass Entrances and Storefront,,08 80 00,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 42 29,Folding Automatic Entrances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 42 29,Sliding Automatic Entrances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 42 33,Revolving Door Entrances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 42 43,Intensive Care Unit/Critical Care Unit (ICU/CCU) Entrances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 43 13,Aluminum-Framed Storefronts,,08 80 00,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 43 29,Sliding Storefront,,08 80 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 44 13,Glazed Aluminum Curtainwall,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 44 23,Structural-Sealant-Glazed Curtainwall,,08 80 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 44 33,Sloped Glazing Assemblies,,08 80 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 45 13,Structured Polycarbonate Panel Asemblies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 45 23,Fiberglass-Sandwich-Panel Assemblies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 51 13,Aluminum Windows,,08 80 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 51 19,Stainless Steel Windows,,08 80 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 51 23,Steel Windows,,08 80 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 52 00,Wood Windows,,08 80 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 53 13,Vinyl Windows,,08 80 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 54 13,Fiberglass Windows,,08 80 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 54 50,Composite Windows,,08 80 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 56 53,Security Windows,,08 80 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 56 60,Horizontal Sliding Service Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 56 61,Ballistics-Resistant Transaction Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 56 62,Aluminum Ticket Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 56 63,Frameless Pass-Thru Window,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 56 75,Horizontal Sliding Steel Interior Fire Window,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 61 00,Roof Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 62 00,Unit Skylights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 63 00,Metal-Framed Skylights,,08 80 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 65 13,Structural Glass Canopies,,08 80 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 71 00,Door Hardware,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 71 13,Automatic Door Operators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 78 13,All-Glass-Entrance Hardware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 80 00,Glazing,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 81 13,Decorative Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 83 00,Mirrors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 84 00,Plastic glazing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 84 13,Decorative Plastic Glazing / Fabrications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 87 00,Glazing Surface Films,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 88 13,Fire-Rated Glazing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 88 35,Integral Blind Glazing Assemblies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 88 36,Electronically Controlled Switchable Glazing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 88 53,Security Glazing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 91 16,Operable Wall Louvers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 91 19,Fixed Louvers,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 91 21,Wind-Driven-Rain-Resistant Louvers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 92 00,Louvered Equipment Enclosures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08 95 16,Wall Vents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 01 91,Maintenance Repainting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 05 61,Moisture Vapor Emission Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 21 16,Gypsum Board Shaft Wall Assemblies,,09 29 00,09 91 00,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,
09 22 16,Non-Structural Metal Framing,X,09 29 00,09 91 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 22 18,Extruded Aluminum Partition Closure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 23 00,Gypsum Plastering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 23 13,Acoustical Gypsum Plastering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 24 00,Portland Cement Plastering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 25 10,Simulated Venetian Plaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 26 13,Gypsum Veneer Plastering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 27 13,Glass-Fiber-Reinforced Gypsim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 29 00,Gypsum Board,X,09 22 16,09 91 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 30 13,Tiling,,09 22 16,09 29 00,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,,,
09 30 23,Glass Tiling,,09 22 16,09 29 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 30 33,Stone Tiling,,09 22 16,09 29 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 30 35,Tile Shower Compartment Components,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 30 36,Concrete Tiling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 51 13,Acoustical Panel Ceilings,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 51 14,Acoustical Fabric-Faced Panel Ceilings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 51 15,Composite Core Acoustical Panel Ceilings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 51 23,Acoustical Tile Ceilings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 51 33,Acoustical Metal Pan Ceilings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
09 54 00,Specialty Panel Ceilings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 54 13,Open Cell Metal Ceilings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
09 54 13,Open Metal Mesh Ceilings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
09 54 16,Luminous Ceilings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 54 23,Linear Plank Metal Ceilings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
09 54 26,Wood Veneer Panel Ceilings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,
09 54 36,Suspended Decorative Ceilings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 54 43,Stretched-Fabric Ceiling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 54 46,Fabric-Wrapped Ceiling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 54 47,Blade Acoustical Panels,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
09 56 13,Acoustical Perforated Gypsum Board Ceilings,,09 91 23,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
09 57 53,Security Ceiling Assemblies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 58 70,Integrated Operating Room Ceiling Assemblies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 60 00,Resilient Floor Underlayment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 61 16,Concrete Floor Sealing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 62 29,Cork Flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 63 13,Brick Flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 63 40,Stone Flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 64 00,Wood Flooring,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
09 64 36,Bamboo Flooring,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
09 64 66,Wood Athletic Flooring,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,
09 64 67,Anchored Resilient Wood Stage Flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 65 13,Resilient Base and Accessories,,,,,,,,,,,,,,,,,,,,,,x,x,,,,,,,,,,
09 65 16,Resilient Sheet Vinyl Flooring,,09 65 13,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
09 65 18,Resilient Sheet Rubber Flooring,,09 65 13,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
09 65 19,Resilient Tile Flooring,,09 65 13,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
09 65 19,Luxury Vinyl Floor Covering,,09 65 13,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
09 65 21,Cork Rubber Tile Flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 65 36,Static-Control Resilient Flooring,,09 65 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 65 43,Linoleum Flooring,,09 65 13,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,
09 65 66,Resilient Athletic Flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 66 13,Portland Cement Terrazzo Flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 66 17,Precast Terrazzo Stair Treads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 66 23,Resinous Matrix Terrazzo,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
09 67 23,Resinous Flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 67 43,Liquid Linoleum Flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 67 66,Fluid-Applied Athletic Flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 68 13,Tile Carpeting,,09 65 13,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
09 68 16,Sheet Carpeting,,09 65 13,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,
09 68 23,Woven Vinyl Tile Flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 69 00,Access Flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 69 22,FRP Grating Access Flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 69 33,Low-Profile Fixed Height Access Flooring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 72 00,Wall Coverings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 75 05,Adhered Stone Facing System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 75 13,Stone Wall Facing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 75 15,Thin Brick Wall Facing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 75 19,Stone Trim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 77 00,Solid Phenolic Composite Interior Wall Panels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 77 10,Interior Aluminum Composite Wall Panels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 77 13,Stretched-Fabric Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 77 15,Modular Wall Paneling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 77 23,Fabric-Wrapped Panels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 77 53,Vegetated Wall System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 78 03,Metal Laminate Panels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 78 13,Metal Interior Wall Panels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 78 14,Decorative Metal-Clad Wall Panels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 78 29,Mineral Profile Wall Paneling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 78 30,Wood Veneer Wall Paneling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 78 81,Decorative Glass Interior Wall Panels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 81 00,Acoustical Space Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 81 13,Acoustical Liner Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 81 16,Acoustical Board Insulation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 84 10,Tackable Wall Panels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 84 13,Bonded Acoustical Cotton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 84 33,Sound-Absorbing Wall Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 84 33,Sound-Absorbing Wood-Fiber Wall Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 84 36,Sound-Absorbing Ceiling Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 84 53,Sound Barrier Mullion Trim Cap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 91 00,Painting,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 93 00,Staining and Transparent Finishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 94 13,Textured Finish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 96 00,High-Performance Coatings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 96 13,Decorative High-Performance Coatings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 96 23,Graffiti-Resistant Coatings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 96 33,High-Temperature-Resistant Coatings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 96 35,Chemical-Resistant Coatings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 96 40,Fire-Retardant Coatings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 96 46,Intumescent Painting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 96 53,Elastomeric Coatings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 96 64,Textured Acrylic Coatings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 97 14,Electrostatic Painting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 97 26,Cementitious Coatings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 97 35,Dry-Erase Coating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09 97 52,Projection Screen Coatings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 11 00,Visual Display Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 11 16,Fixed Markerboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 11 17,Glass Markerboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 11 26,Fabric-Wrapped Tackboards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 11 46,Visual Display Fabrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 12 00,Display Cases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 12 10,Merchandise Display Panels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 13 00,Directories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 14 16,Plaques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 14 19,Dimensional Lettering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 14 23,Panel Signage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 14 26,Post and Panel-Pylon Signage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 14 29,Modular Signage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 14 53,Traffic and Parking Signage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 14 63,Digital Exterior Marquee Signage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 14 73,Painted Signage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 21 13,Metal Toilet Compartments,,05 50 00,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 21 13,Steel Toilet Compartments,,05 50 00,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 21 13,Stainless Steel Toilet Compartments,,05 50 00,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 21 13,Plastic-Laminate-Clad Toilet Compartments,,05 50 00,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 21 13,Phenolic-Core Toilet Compartments,,05 50 00,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 21 13,Plastic (HDPE) Toilet Compartments,,05 50 00,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 21 13,Stone Toilet Compartments,,05 50 00,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 21 16,Metal Shower and Dressing Compartments,,05 50 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 21 16,Stainless-Steel Shower and Dressing Compartments,,05 50 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 21 16,Plastic Shower and Dressing Compartments,,05 50 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 21 17,Phenolic-Core Shower and Dressing Compartments,,05 50 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 21 23,Cubicle Curtains and Tracks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 22 13,Wire Mesh Partitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 22 19,Demountable Partitions,,05 50 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 22 33,Accordion Folding Partitions,,05 50 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 22 39,Folding Panel Partitions,,05 50 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 22 39,Vertically-Folding Panel Partitions,,05 50 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 22 46,Fabric Screen Panels,,05 50 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 25 13,Modular Wall and Door System,,05 50 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 26 00,Wall and Door Protection,,09 22 16,09 26 00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 28 00,"Toilet, Bath, and Laundry Accessories",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 28 13,Toilet Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 28 14,Detention Toilet Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 28 15,Anti-Ligature Toilet Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 28 19,Tub and Shower Doors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 43 00,Emergency Aid Specialties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 44 00,Fire Protection Specialties,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 44 13,Fire Protection Cabinets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 44 15,Anti-Ligature Fire Protection Cabinets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 44 16,Fire Extinguishers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 45 13,Photoluminescent Egress Path Markings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 51 01,Wood Lockers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 51 10,Metal Mesh Storage Lockers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 51 13,Metal Lockers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 51 16,Wood Lockers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 51 23,Plastic-Laminate-Clad Lockers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 51 26,Plastic (HDPE) Lockers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 51 29,Phenolic Core Lockers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 51 43,Wire Mesh Storage Lockers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 55 00,Postal Specialties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 56 13,Metal Storage Shelving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 56 26,Mobile Storage Shelving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 71 13,Exterior Sun Control Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 73 13,Awnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 73 16,Manufactured Canopies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 73 23,Cantilevered Care Shelters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 73 26,Walkway Coverings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 73 28,Aluminum Pergola System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 73 43,Transportation Stop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 74 29,Manufactured Cupola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 75 16,Ground-Set Flagpoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 75 23,Wall-Mounted Flagpoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 75 26,Roof-Mounted Flagpoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 75 27,Plaza-Mounted Flagpoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 75 29,Plaza-Mounted Flagpoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 81 13,Bird Control Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 82 11,Architectural Coiled Wire Grilles and Screens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 82 13,Roof Top Equipment Screens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 82 24,Interior Decorative Metal Screens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 83 16,Banners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 89 33,Decorative Decals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
